year,race,location,date,network,,spliced_name_1,spliced_name_2,spliced_name_3,spliced_name_4,spliced_name_5,spliced_name_6,spliced_name_7,spliced_name_8,spliced_name_9,spliced_name_10,name_for_macro
1990,Daytona_500,,2_18_2019,,,Daytona,500,,,,,,,,,1990_Daytona_500
1990,Pontiac_Excitement_400,"Richmond_International_Raceway, Richmond",2_25_2019,TBS,,Pontiac,Excitement,400,,,,,,,,1990_Pontiac_Excitement_400
1990,GM_Goodwrench_500,"North_Carolina_Motor_Speedway, Rockingham",3_4_2019,ESPN,,GM,Goodwrench,500,,,,,,,,1990_GM_Goodwrench_500
1990,Motorcraft_Quality_Parts_500,"Atlanta_International_Raceway, Hampton",3_18_2019,ABC,,Motorcraft,500,,,,,,,,,1990_Motorcraft_Quality_Parts_500
1990,TranSouth_500,"Darlington_Raceway, Darlington",4_1_2019,ESPN,,TranSouth,500,,,,,,,,,1990_TranSouth_500
1990,Valleydale_Meats_500,"Bristol_International_Raceway, Bristol",4_8_2019,,,Valleydale,Meats,500,,,,,,,,1990_Valleydale_Meats_500
1990,First_Union_400,"North_Wilkesboro_Speedway, North_Wilkesboro",4_22_2019,,,First,Union,400,,,,,,,,1990_First_Union_400
1990,Hanes_Activewear_500,"Martinsville_Speedway, Ridgeway",4_29_2019,,,Hanes,Activewear,500,,,,,,,,1990_Hanes_Activewear_500
1990,Winston_500,"Talladega_Superspeedway, Talladega",5_6_2019,,,Winston,500,,,,,,,,,1990_Winston_500
1990,Coca-Cola_600,,5_27_2019,TBS,,Coca-Cola,600,,,,,,,,,1990_Coca-Cola_600
1990,Budweiser_500,"Dover_Downs_International_Speedway, Dover",6_3_2019,ESPN,,Budweiser,500,,,,,,,,,1990_Budweiser_500
1990,Banquet_Frozen_Foods_300,"Sears_Point_Raceway, Sonoma",6_10_2019,,,Banquet,Frozen,Foods,300,,,,,,,1990_Banquet_Frozen_Foods_300
1990,Miller_Genuine_Draft_500,"Pocono_International_Raceway, Long_Pond",6_17_2019,Showtime,,Miller,Genuine,Draft,500,,,,,,,1990_Miller_Genuine_Draft_500
1990,Miller_Genuine_Draft_400_(June),"Michigan_International_Speedway, Brooklyn",6_24_2019,CBS,,Miller,Genuine,Draft,400,,,,,,,1990_Miller_Genuine_Draft_400_(June)
1990,Pepsi_400,"Daytona_International_Speedway, Daytona_Beach",7_7_2019,ESPN,,Pepsi,400,,,,,,,,,1990_Pepsi_400
